route,ridership_route_code,route_full_name,current_garage,mode,month_start,year_month,day_type,on_time_percent,data_source
1,001,1 - FREEPORT ROAD,Ross,Bus,2017-01-01,201701,WEEKDAY,0.6837,Clever
1,001,1 - FREEPORT ROAD,Ross,Bus,2017-01-01,201701,SAT.,0.6977,Clever
1,001,1 - FREEPORT ROAD,Ross,Bus,2017-01-01,201701,SUN.,0.628,Clever
2,002,2 - MOUNT ROYAL,Ross,Bus,2017-01-01,201701,WEEKDAY,0.6978,Clever
4,004,4 - TROY HILL,Ross,Bus,2017-01-01,201701,WEEKDAY,0.7438,Clever
4,004,4 - TROY HILL,Ross,Bus,2017-01-01,201701,SAT.,0.7042,Clever
6,006,6 - SPRING HILL,Ross,Bus,2017-01-01,201701,WEEKDAY,0.8049,Clever
6,006,6 - SPRING HILL,Ross,Bus,2017-01-01,201701,SAT.,0.7361,Clever
6,006,6 - SPRING HILL,Ross,Bus,2017-01-01,201701,SUN.,0.7749,Clever
7,007,7 - SPRING GARDEN,Ross,Bus,2017-01-01,201701,WEEKDAY,0.6233,Clever
8,008,8 - PERRYSVILLE,Ross,Bus,2017-01-01,201701,WEEKDAY,0.7239,Clever
8,008,8 - PERRYSVILLE,Ross,Bus,2017-01-01,201701,SAT.,0.735,Clever
8,008,8 - PERRYSVILLE,Ross,Bus,2017-01-01,201701,SUN.,0.7475,Clever
11,011,11 - FINEVIEW,Ross,Bus,2017-01-01,201701,WEEKDAY,0.7438,Clever
11,011,11 - FINEVIEW,Ross,Bus,2017-01-01,201701,SAT.,0.6715,Clever
11,011,11 - FINEVIEW,Ross,Bus,2017-01-01,201701,SUN.,0.7362,Clever
12,012,12 - MCKNIGHT,Ross,Bus,2017-01-01,201701,WEEKDAY,0.6842,Clever
12,012,12 - MCKNIGHT,Ross,Bus,2017-01-01,201701,SAT.,0.6137,Clever
12,012,12 - MCKNIGHT,Ross,Bus,2017-01-01,201701,SUN.,0.7228,Clever
13,013,13 - BELLEVUE,Ross,Bus,2017-01-01,201701,WEEKDAY,0.6795,Clever
13,013,13 - BELLEVUE,Ross,Bus,2017-01-01,201701,SAT.,0.7552,Clever
13,013,13 - BELLEVUE,Ross,Bus,2017-01-01,201701,SUN.,0.781,Clever
14,014,14 - OHIO VALLEY,Ross,Bus,2017-01-01,201701,WEEKDAY,0.7055,Clever
14,014,14 - OHIO VALLEY,Ross,Bus,2017-01-01,201701,SAT.,0.7178,Clever
14,014,14 - OHIO VALLEY,Ross,Bus,2017-01-01,201701,SUN.,0.7537,Clever
15,015,15 - CHARLES,Ross,Bus,2017-01-01,201701,WEEKDAY,0.7717,Clever
15,015,15 - CHARLES,Ross,Bus,2017-01-01,201701,SAT.,0.8209,Clever
15,015,15 - CHARLES,Ross,Bus,2017-01-01,201701,SUN.,0.709,Clever
16,016,16 - BRIGHTON,Ross,Bus,2017-01-01,201701,WEEKDAY,0.7411,Clever
16,016,16 - BRIGHTON,Ross,Bus,2017-01-01,201701,SAT.,0.7729,Clever
16,016,16 - BRIGHTON,Ross,Bus,2017-01-01,201701,SUN.,0.7843,Clever
17,017,17 - SHADELAND,Ross,Bus,2017-01-01,201701,WEEKDAY,0.7196,Clever
17,017,17 - SHADELAND,Ross,Bus,2017-01-01,201701,SAT.,0.7238,Clever
17,017,17 - SHADELAND,Ross,Bus,2017-01-01,201701,SUN.,0.6811,Clever
18,018,18 - MANCHESTER,Ross,Bus,2017-01-01,201701,WEEKDAY,0.7322,Clever
19L,019L,19L - EMSWORTH LIMITED,Ross,Bus,2017-01-01,201701,WEEKDAY,0.6682,Clever
20,020,20 - KENNEDY,Collier,Bus,2017-01-01,201701,WEEKDAY,0.7552,Clever
21,021,21 - CORAOPOLIS,Collier,Bus,2017-01-01,201701,WEEKDAY,0.6752,Clever
21,021,21 - CORAOPOLIS,Collier,Bus,2017-01-01,201701,SAT.,0.7482,Clever
21,021,21 - CORAOPOLIS,Collier,Bus,2017-01-01,201701,SUN.,0.7237,Clever
22,022,22 - MCCOY,Collier,Bus,2017-01-01,201701,WEEKDAY,0.7054,Clever
22,022,22 - MCCOY,Collier,Bus,2017-01-01,201701,SAT.,0.763,Clever
24,024,24 - WEST PARK,Collier,Bus,2017-01-01,201701,WEEKDAY,0.6794,Clever
24,024,24 - WEST PARK,Collier,Bus,2017-01-01,201701,SAT.,0.7282,Clever
24,024,24 - WEST PARK,Collier,Bus,2017-01-01,201701,SUN.,0.6752,Clever
26,026,26 - CHARTIERS,Collier,Bus,2017-01-01,201701,WEEKDAY,0.7258,Clever
26,026,26 - CHARTIERS,Collier,Bus,2017-01-01,201701,SAT.,0.8118,Clever
26,026,26 - CHARTIERS,Collier,Bus,2017-01-01,201701,SUN.,0.8028,Clever
27,027,27 - FAIRYWOOD,Collier,Bus,2017-01-01,201701,WEEKDAY,0.7586,Clever
27,027,27 - FAIRYWOOD,Collier,Bus,2017-01-01,201701,SAT.,0.8136,Clever
27,027,27 - FAIRYWOOD,Collier,Bus,2017-01-01,201701,SUN.,0.7656,Clever
28X,028X,28X - AIRPORT FLYER,East Liberty,Bus,2017-01-01,201701,WEEKDAY,0.633,Clever
28X,028X,28X - AIRPORT FLYER,East Liberty,Bus,2017-01-01,201701,SAT.,0.6699,Clever
28X,028X,28X - AIRPORT FLYER,East Liberty,Bus,2017-01-01,201701,SUN.,0.7555,Clever
