route,ridership_route_code,route_full_name,current_garage,mode,month_start,year_month,day_type,avg_riders,day_count
1,001,1 - FREEPORT ROAD,Ross,Bus,2017-01-01,201701,SAT.,969.5,4
4,004,4 - TROY HILL,Ross,Bus,2017-01-01,201701,SAT.,218.25,4
6,006,6 - SPRING HILL,Ross,Bus,2017-01-01,201701,SAT.,495.5,4
8,008,8 - PERRYSVILLE,Ross,Bus,2017-01-01,201701,SAT.,1480,4
11,011,11 - FINEVIEW,Ross,Bus,2017-01-01,201701,SAT.,208,4
12,012,12 - MCKNIGHT,Ross,Bus,2017-01-01,201701,SAT.,1069.75,4
13,013,13 - BELLEVUE,Ross,Bus,2017-01-01,201701,SAT.,1252.75,4
14,014,14 - OHIO VALLEY,Ross,Bus,2017-01-01,201701,SAT.,478.25,4
15,015,15 - CHARLES,Ross,Bus,2017-01-01,201701,SAT.,672,4
16,016,16 - BRIGHTON,Ross,Bus,2017-01-01,201701,SAT.,2070,4
17,017,17 - SHADELAND,Ross,Bus,2017-01-01,201701,SAT.,499.25,4
21,021,21 - CORAOPOLIS,Collier,Bus,2017-01-01,201701,SAT.,480.5,4
22,022,22 - MCCOY,Collier,Bus,2017-01-01,201701,SAT.,424.5,4
24,024,24 - WEST PARK,Collier,Bus,2017-01-01,201701,SAT.,1128.5,4
26,026,26 - CHARTIERS,Collier,Bus,2017-01-01,201701,SAT.,504,4
27,027,27 - FAIRYWOOD,Collier,Bus,2017-01-01,201701,SAT.,634,4
28X,028X,28X - AIRPORT FLYER,East Liberty,Bus,2017-01-01,201701,SAT.,1339.75,4
31,031,31 - BRIDGEVILLE,Collier,Bus,2017-01-01,201701,SAT.,768.25,4
38,038,38 - GREEN TREE,Collier,Bus,2017-01-01,201701,SAT.,333,4
39,039,39 - BROOKLINE,Collier,Bus,2017-01-01,201701,SAT.,181.75,4
40,040,40 - MOUNT WASHINGTON,Collier,Bus,2017-01-01,201701,SAT.,216.25,4
41,041,41 - BOWER HILL,Collier,Bus,2017-01-01,201701,SAT.,464.25,4
43,043,43 - BAILEY,Collier,Bus,2017-01-01,201701,SAT.,279.25,4
44,044,44 - VIA KNOXVILLE,Collier,Bus,2017-01-01,201701,SAT.,285,4
48,048,48 - ARLINGTON,Collier,Bus,2017-01-01,201701,SAT.,1867,4
51,051,51 - CARRICK,West Mifflin,Bus,2017-01-01,201701,SAT.,4541.5,4
53,053,53 - HOMESTEAD PARK,West Mifflin,Bus,2017-01-01,201701,SAT.,298.75,4
54,054,54 - NORTH SIDE-OAKLAND-SOUTH SIDE,Ross,Bus,2017-01-01,201701,SAT.,2311,4
55,055,55 - GLASSPORT,West Mifflin,Bus,2017-01-01,201701,SAT.,610.5,4
56,056,56 - LINCOLN PLACE,West Mifflin,Bus,2017-01-01,201701,SAT.,604.75,4
57,057,57 - HAZELWOOD,West Mifflin,Bus,2017-01-01,201701,SAT.,858.5,4
58,058,58 - GREENFIELD,East Liberty,Bus,2017-01-01,201701,SAT.,244.5,4
59,059,59 - MON VALLEY,West Mifflin,Bus,2017-01-01,201701,SAT.,1640.75,4
61A,061A,61A - NORTH BRADDOCK,West Mifflin,Bus,2017-01-01,201701,SAT.,2823.25,4
61B,061B,61B - BRADDOCK-SWISSVALE,West Mifflin,Bus,2017-01-01,201701,SAT.,2270.75,4
61C,061C,61C - MCKEESPORT-HOMESTEAD,West Mifflin,Bus,2017-01-01,201701,SAT.,3763.75,4
61D,061D,61D - MURRAY,West Mifflin,Bus,2017-01-01,201701,SAT.,3212.75,4
64,064,64 - LAWRENCEVILLE - WATERFRONT,West Mifflin,Bus,2017-01-01,201701,SAT.,1386,4
67,067,67 - MONROEVILLE,East Liberty,Bus,2017-01-01,201701,SAT.,737.5,4
68,068,68 - BRADDOCK HILLS,East Liberty,Bus,2017-01-01,201701,SAT.,347,4
69,069,69 - TRAFFORD,East Liberty,Bus,2017-01-01,201701,SAT.,284,4
71A,071A,71A - NEGLEY,East Liberty,Bus,2017-01-01,201701,SAT.,2569.5,4
71B,071B,71B - HIGHLAND PARK,East Liberty,Bus,2017-01-01,201701,SAT.,1770,4
71C,071C,71C - POINT BREEZE,East Liberty,Bus,2017-01-01,201701,SAT.,3147.5,4
71D,071D,71D - HAMILTON,East Liberty,Bus,2017-01-01,201701,SAT.,1883.25,4
74,074,74 - HOMEWOOD-SQUIRREL HILL,East Liberty,Bus,2017-01-01,201701,SAT.,392,4
75,075,75 - ELLSWORTH,East Liberty,Bus,2017-01-01,201701,SAT.,1783.5,4
77,077,77 - PENN HILLS,East Liberty,Bus,2017-01-01,201701,SAT.,880,4
79,079,79 - EAST HILLS,East Liberty,Bus,2017-01-01,201701,SAT.,580.5,4
81,081,81 - OAK HILL,West Mifflin,Bus,2017-01-01,201701,SAT.,704.5,4
82,082,82 - LINCOLN,East Liberty,Bus,2017-01-01,201701,SAT.,2339.25,4
83,083,83 - BEDFORD HILL,West Mifflin,Bus,2017-01-01,201701,SAT.,1231.5,4
86,086,86 - LIBERTY,East Liberty,Bus,2017-01-01,201701,SAT.,2060.5,4
87,087,87 - FRIENDSHIP,East Liberty,Bus,2017-01-01,201701,SAT.,573.25,4
88,088,88 - PENN,East Liberty,Bus,2017-01-01,201701,SAT.,1289.25,4
89,089,89 - GARFIELD COMMONS,East Liberty,Bus,2017-01-01,201701,SAT.,232,4
91,091,91 - BUTLER STREET,Ross,Bus,2017-01-01,201701,SAT.,1535.75,4
G2,G2,G2 - WEST BUSWAY,Collier,Bus,2017-01-01,201701,SAT.,932.25,4
P1,P1,P1 - EAST BUSWAY-ALL STOPS,East Liberty,Bus,2017-01-01,201701,SAT.,4407,4
Y46,Y46,Y46 - ELIZABETH FLYER,West Mifflin,Bus,2017-01-01,201701,SAT.,758.25,4
Y47,Y47,Y47 - CURRY FLYER,West Mifflin,Bus,2017-01-01,201701,SAT.,385,4
Y49,Y49,Y49 - PROSPECT FLYER,West Mifflin,Bus,2017-01-01,201701,SAT.,571.5,4
1,001,1 - FREEPORT ROAD,Ross,Bus,2017-01-01,201701,SUN.,737.4,5
6,006,6 - SPRING HILL,Ross,Bus,2017-01-01,201701,SUN.,378.2,5
8,008,8 - PERRYSVILLE,Ross,Bus,2017-01-01,201701,SUN.,909,5
11,011,11 - FINEVIEW,Ross,Bus,2017-01-01,201701,SUN.,111,5
12,012,12 - MCKNIGHT,Ross,Bus,2017-01-01,201701,SUN.,670.4,5
13,013,13 - BELLEVUE,Ross,Bus,2017-01-01,201701,SUN.,676,5
14,014,14 - OHIO VALLEY,Ross,Bus,2017-01-01,201701,SUN.,337.2,5
15,015,15 - CHARLES,Ross,Bus,2017-01-01,201701,SUN.,388,5
16,016,16 - BRIGHTON,Ross,Bus,2017-01-01,201701,SUN.,1115.2,5
17,017,17 - SHADELAND,Ross,Bus,2017-01-01,201701,SUN.,357,5
21,021,21 - CORAOPOLIS,Collier,Bus,2017-01-01,201701,SUN.,253.4,5
24,024,24 - WEST PARK,Collier,Bus,2017-01-01,201701,SUN.,838.2,5
26,026,26 - CHARTIERS,Collier,Bus,2017-01-01,201701,SUN.,313.8,5
27,027,27 - FAIRYWOOD,Collier,Bus,2017-01-01,201701,SUN.,417.8,5
28X,028X,28X - AIRPORT FLYER,East Liberty,Bus,2017-01-01,201701,SUN.,1173.8,5
31,031,31 - BRIDGEVILLE,Collier,Bus,2017-01-01,201701,SUN.,547.4,5
